video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent
T3mq3nBvHNg,2018-06-08T18:59:30.000Z,UCwga1dPCqBddbtq5KYRii2g,Ethiopia's Prime Minister Ahmed Abiy in Uganda on a State visit,Ethiopia's Prime Minister Abiy Ahmed Ali is in Uganda for a state visit at the invitation of President Yoweri Museveni. Ali will be the chief guest at the Heroes Day ...,https://i.ytimg.com/vi/T3mq3nBvHNg/default.jpg,120,90,https://i.ytimg.com/vi/T3mq3nBvHNg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/T3mq3nBvHNg/hqdefault.jpg,480,360,NTVUganda,none
83h5zAgvfuI,2018-06-09T09:19:35.000Z,UCLqOfbLG-ov6S5Aa-Zp1Z4g,ተባለ እንዴ!? Prime Minister Abiy Ahmed visit to Washington DC | Donald Trump | Ethiopia,ተባለ እንዴ!? የዶ/ር አብይ የአሜሪካ ጉብኝት እና የዲሲው አታካራ | Prime Minister Abiy Ahmed visit to Washington DC | Donald Trump | Ethiopia | Ethiopia...,https://i.ytimg.com/vi/83h5zAgvfuI/default.jpg,120,90,https://i.ytimg.com/vi/83h5zAgvfuI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/83h5zAgvfuI/hqdefault.jpg,480,360,All Things ኢትዮጵያ Ethiopia,none
pdU3_Yg7T_A,2018-04-04T18:22:59.000Z,UCADXAQ-WsE6YusaG2FC23BQ,WATCH - Lemma Megersa on Dr. Abiy Ahmed,"Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/kATImk Unauthorized use, ...",https://i.ytimg.com/vi/pdU3_Yg7T_A/default.jpg,120,90,https://i.ytimg.com/vi/pdU3_Yg7T_A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pdU3_Yg7T_A/hqdefault.jpg,480,360,tenaadam,none
FYo8DwVo8H4,2018-04-13T11:05:41.000Z,UCQlvmUtvPPDET8tnkRPIocw,Ethiopia :Prime Minister Dr Abiy Ahmed gets warm welcome Mekelle | Ethiopian News Today,"Watch more about Ethiopian Entertainment videos such as Ethiopian movie, Ethiopian drama, Ethiopian music, Ethiopian comedy, Ethiopian health, senselet, ...",https://i.ytimg.com/vi/FYo8DwVo8H4/default.jpg,120,90,https://i.ytimg.com/vi/FYo8DwVo8H4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FYo8DwVo8H4/hqdefault.jpg,480,360,ethiopia hagere,none
pIavAOqgoRg,2018-06-24T11:02:08.000Z,UC5OHRPjRa4XYIU5OQUdnDpg,ቦንብ ያፈነዳችውን እብድ የፈተሸቻት ጋዜጠኛ ለሰይፉ ያወጣችው ሚስጥር Dr. Abiy Ahmed,ቦንብ ያፈነዳችውን እብድ የፈተሸቻት ጋዜጠኛ ለሰይፉ ያወጣችው ሚስጥር Dr. Abiy Ahmed https://youtu.be/pIavAOqgoRg ...,https://i.ytimg.com/vi/pIavAOqgoRg/default.jpg,120,90,https://i.ytimg.com/vi/pIavAOqgoRg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pIavAOqgoRg/hqdefault.jpg,480,360,fikir tube,none
pBhNkFD-PpY,2018-06-26T19:54:57.000Z,UCxMUNLpBqLTzPzdFKtfbDVw,ዶ/ር  አብይ አህመድን ለመጠበቅ  ጠባቂያቸዉ ዛሬ  ይዞት የወጣዉ መሳሪያ Dr. Abiy Ahmed at Bole Airbort,Ethiopian prime minister Dr. Abiy Ahmed welcomed Eritrean Delegation at Bole Airport. ዶ/ር አብይ አህመድን ለመጠበቅ ጠባቂያቸዉ ዛሬ ይዞት የወጣዉ...,https://i.ytimg.com/vi/pBhNkFD-PpY/default.jpg,120,90,https://i.ytimg.com/vi/pBhNkFD-PpY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pBhNkFD-PpY/hqdefault.jpg,480,360,Fikre Selam,none
oG_-gsm_BFE,2018-06-23T11:43:00.000Z,UCn-x-TvMDW28zgDM6SNXAiA,ሰልፉ ላይ ቦንብ የጣለችው ሴት መሆኗ ተረጋገጠ PM Abiy Ahmed Rally Update,ሰልፉ ላይ ቦንብ የጣለችው ሴት መሆኗ ተረጋገጠ PM Abiy Ahmed Rally Update.,https://i.ytimg.com/vi/oG_-gsm_BFE/default.jpg,120,90,https://i.ytimg.com/vi/oG_-gsm_BFE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/oG_-gsm_BFE/hqdefault.jpg,480,360,EthioInfo,none
TZNj9MjxCjM,2018-04-16T20:54:53.000Z,UCADXAQ-WsE6YusaG2FC23BQ,VOA Special ወልቃይት - Welkait | Atalay Zafe | Dr Abiy Ahmed | Gonder | Tigray,"Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/kATImk Unauthorized use, ...",https://i.ytimg.com/vi/TZNj9MjxCjM/default.jpg,120,90,https://i.ytimg.com/vi/TZNj9MjxCjM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TZNj9MjxCjM/hqdefault.jpg,480,360,tenaadam,none
3HVBS-QcHVc,2018-06-25T16:54:01.000Z,UCQlvmUtvPPDET8tnkRPIocw,Dr Abiy Ahmed donate blood to victims receiving medical care,Best Latest ethiopian news new today youtube video 2018 Abiy Ahmed Ali is an Ethiopian politician. He is the 12th Prime Minister of Ethiopia. He is Chairman of ...,https://i.ytimg.com/vi/3HVBS-QcHVc/default.jpg,120,90,https://i.ytimg.com/vi/3HVBS-QcHVc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3HVBS-QcHVc/hqdefault.jpg,480,360,ethiopia hagere,none
JQWLmIHW-Og,2018-03-31T12:11:53.000Z,UCADXAQ-WsE6YusaG2FC23BQ,Shukshukta (ሹክሹክታ) -  Dr Abiy Ahmed - የነብይ ብርቱካን ትንቢትና  እና ዶ/ር አብይ   | Ethiopia |  Prophet Birtukan,"Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/kATImk Unauthorized use, ...",https://i.ytimg.com/vi/JQWLmIHW-Og/default.jpg,120,90,https://i.ytimg.com/vi/JQWLmIHW-Og/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JQWLmIHW-Og/hqdefault.jpg,480,360,tenaadam,none
