text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,link,user_network,user_hashtag
"RT @KnowEthiopia: Remain of the palace of Emperor Menelik II, Entoto Natural park, #AddisAbaba, #Ethiopia https://t.co/3FjEnoj4Pz",FALSE,0,NA,2018-07-06T16:38:10Z,FALSE,NA,1015273713766453200,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ctrujillot77,4,TRUE,FALSE,NA,NA,https://t.co/3FjEnoj4Pz,@KnowEthiopia,#AddisAbaba #Ethiopia
"አቶ ነሲቡ ስብሐት፤ የ ‘ያ ትውልድ’ ተቋም መስራችና ሰብሳቢ
#Ethiopia 
#Ethiopian 
#thatGeneration 
#ያ_ትውልድ 
#ኢትዮጵያ https://t.co/V0jwLCLhrv",FALSE,1,NA,2018-07-06T16:38:10Z,FALSE,NA,1015273711224655900,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SebhatAmare,0,FALSE,FALSE,NA,NA,https://t.co/V0jwLCLhrv,,#Ethiopia #Ethiopian #thatGeneration #ያ_ትውልድ #ኢትዮጵያ
"RT @Ethiopia_Abebe: Human Rights watch only selectively condemns perpetrators of violence if they are from Tigray, however they gave Oromo…",FALSE,0,NA,2018-07-06T16:38:00Z,FALSE,NA,1015273672146407400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ThatEthioBoy,1,TRUE,FALSE,NA,NA,,@Ethiopia_Abebe,
"RT @EthioEmbassyUK: Amb. Hailemichael &amp; the Diaspora Dept. met the young Ethiopians behind #EnPov, a social enterprise that aims to transfo…",FALSE,0,NA,2018-07-06T16:37:52Z,FALSE,NA,1015273635949547500,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JihadKormi,7,TRUE,FALSE,NA,NA,,@EthioEmbassyUK,#EnPov
Good thread on the internal ethnic conflicts still plaguing #Ethiopia https://t.co/4Mp8qdzlCU,FALSE,1,NA,2018-07-06T16:37:14Z,FALSE,NA,1.0152734776690319e+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ethiopia_Abebe,0,FALSE,FALSE,NA,NA,https://t.co/4Mp8qdzlCU,,#Ethiopia
"RT @mukhtarainashe: Farah Moalim verbally supported the plight of the Somali people in #Ethiopia &amp; #ONLF. However, HE DID NOT CONDEMN the a…",FALSE,0,NA,2018-07-06T16:36:54Z,FALSE,NA,1015273391539056600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",billow_jr,8,TRUE,FALSE,NA,NA,,@mukhtarainashe,#Ethiopia #ONLF
"RT @KnowEthiopia: Remain of the palace of Emperor Menelik II, Entoto Natural park, #AddisAbaba, #Ethiopia https://t.co/3FjEnoj4Pz",FALSE,0,NA,2018-07-06T16:35:58Z,FALSE,NA,1015273160529281e3,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",traveladdis,4,TRUE,FALSE,NA,NA,https://t.co/3FjEnoj4Pz,@KnowEthiopia,#AddisAbaba #Ethiopia
#Ethiopia Do you know ? What a potential if we strike a deal https://t.co/sdw90bglLh,FALSE,0,NA,2018-07-06T16:35:52Z,FALSE,NA,1015273131609555e3,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KMasresha,0,FALSE,FALSE,NA,NA,https://t.co/sdw90bglLh,,#Ethiopia
RT @SerawrEritrea: #Eritrea - #Preparation is underway for special guests from #Ethiopia https://t.co/b3UPbEPl0q,FALSE,0,NA,2018-07-06T16:35:29Z,FALSE,NA,1015273035874566100,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AberaNetsanet,1,TRUE,FALSE,NA,NA,https://t.co/b3UPbEPl0q,@SerawrEritrea,#Eritrea #Preparation #Ethiopia
"Jawar Mohammed and his #OMN fake news outlet have been pumping out Oromo nationalist propaganda, promoting violence… https://t.co/FIIzvmaN5m",FALSE,0,NA,2018-07-06T16:35:28Z,TRUE,NA,1015273031298666500,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ethiopia_Abebe,1,FALSE,FALSE,NA,NA,https://t.co/FIIzvmaN5m,,#OMN
